,ISBN,Book-Title,Rating-Count,Average-Rating
0,0316666343,The Lovely Bones: A Novel,707,8.185289957567186
1,0971880107,Wild Animus,581,4.3907056798623065
2,0385504209,The Da Vinci Code,487,8.435318275154003
3,0312195516,The Red Tent (Bestselling Backlist),383,8.182767624020888
4,0060928336,Divine Secrets of the Ya-Ya Sisterhood: A Novel,320,7.8875
5,059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),313,8.939297124600639
6,0142001740,The Secret Life of Bees,307,8.452768729641694
7,0446672211,Where the Heart Is (Oprah's Book Club (Paperback)),295,8.142372881355932
8,044023722X,A Painted House,281,7.338078291814947
9,0452282152,Girl with a Pearl Earring,278,7.982014388489208
10,0316601950,The Pilot's Wife : A Novel,272,7.5036764705882355
11,0671027360,Angels &amp; Demons,269,8.100371747211897
12,067976402X,Snow Falling on Cedars,256,7.80859375
13,0316769487,The Catcher in the Rye,243,7.68724279835391
14,0786868716,The Five People You Meet in Heaven,242,8.016528925619834
15,0743418174,Good in Bed,236,8.046610169491526
16,0345337662,Interview with the Vampire,230,7.778260869565218
17,0375727345,House of Sand and Fog,229,7.327510917030568
18,0312278586,The Nanny Diaries: A Novel,226,7.54424778761062
19,0156027321,Life of Pi,226,8.030973451327434
20,0060930535,The Poisonwood Bible: A Novel,218,8.178899082568808
21,0671021001,She's Come Undone (Oprah's Book Club),217,7.700460829493087
22,0440226430,Summer Sisters,214,7.55607476635514
23,0446310786,To Kill a Mockingbird,214,8.94392523364486
24,044021145X,The Firm,208,7.822115384615385
25,0671003755,She's Come Undone (Oprah's Book Club (Paperback)),207,7.531400966183575
26,0446605239,The Notebook,206,7.689320388349515
27,043935806X,Harry Potter and the Order of the Phoenix (Book 5),206,9.033980582524272
28,0440241073,The Summons,200,7.285
29,0345370775,Jurassic Park,200,7.85
30,0385484518,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",200,8.615
31,0345417623,Timeline,195,7.851282051282051
32,0440211727,A Time to Kill,194,7.93298969072165
33,0804106304,The Joy Luck Club,194,8.195876288659793
34,0439064872,Harry Potter and the Chamber of Secrets (Book 2),189,8.783068783068783
35,0060976845,Little Altars Everywhere: A Novel,186,7.596774193548387
36,1400034779,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),183,8.049180327868852
37,0345361792,A Prayer for Owen Meany,181,8.607734806629834
38,0446610038,1st to Die: A Novel,177,7.728813559322034
39,0440214041,The Pelican Brief,174,7.586206896551724
40,0316284955,White Oleander : A Novel (Oprah's Book Club),171,7.853801169590644
41,0440234743,The Testament,169,7.704142011834319
42,0312291639,The Nanny Diaries: A Novel,167,7.293413173652695
43,0440206154,Red Dragon,166,7.957831325301205
44,0060502258,The Divine Secrets of the Ya-Ya Sisterhood: A Novel,166,7.771084337349397
45,0140293248,The Girls' Guide to Hunting and Fishing,165,6.909090909090909
46,0345342968,Fahrenheit 451,164,8.628048780487806
47,0385335482,Confessions of a Shopaholic (Summer Display Opportunity),163,7.803680981595092
48,0345339681,The Hobbit : The Enchanting Prelude to The Lord of the Rings,161,8.73913043478261
49,0060934417,Bel Canto: A Novel,159,8.150943396226415
50,0316776963,Me Talk Pretty One Day,159,7.8930817610062896
51,0060392452,Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,158,7.80379746835443
52,0060987103,Wicked: The Life and Times of the Wicked Witch of the West,156,7.871794871794871
53,0842329129,Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),155,7.716129032258064
54,0060938455,Fast Food Nation: The Dark Side of the All-American Meal,154,8.415584415584416
55,0375706771,Midwives: A Novel,153,7.73202614379085
56,0440221471,The Runaway Jury,152,7.743421052631579
57,044651652X,The Bridges of Madison County,152,7.506578947368421
58,0380789035,American Gods,151,8.013245033112582
59,0440236673,The Brethren,150,7.5
60,0671510053,SHIPPING NEWS,150,7.733333333333333
61,0440220602,The Chamber,146,7.431506849315069
62,0375707972,The Reader,145,7.206896551724138
63,0440213525,The Client,145,7.903448275862069
64,0375726403,Empire Falls,145,7.6482758620689655
65,0375725784,A Heartbreaking Work of Staggering Genius,144,7.180555555555555
66,0440224764,The Partner,143,7.713286713286713
67,0345313860,"The Vampire Lestat (Vampire Chronicles, Book II)",143,7.951048951048951
68,0439136350,Harry Potter and the Prisoner of Azkaban (Book 3),141,9.035460992907801
69,0440222656,The Horse Whisperer,140,7.45
70,0452282829,We Were the Mulvaneys,139,7.057553956834532
71,0060959037,Prodigal Summer: A Novel,138,8.159420289855072
72,0345443284,While I Was Gone,138,7.021739130434782
73,044022165X,The Rainmaker,138,7.434782608695652
74,0385492081,Into Thin Air : A Personal Account of the Mt. Everest Disaster,138,8.08695652173913
75,0439139597,Harry Potter and the Goblet of Fire (Book 4),137,9.262773722627736
76,0345353145,Sphere,136,7.4411764705882355
77,0684872153,Angela's Ashes (MMP) : A Memoir,136,8.0
78,0805063897,Nickel and Dimed: On (Not) Getting By in America,134,8.253731343283581
79,1558743669,"A Child Called \It\"": One Child's Courage to Survive""",134,8.0
80,0375700757,Cold Mountain : A Novel,134,7.776119402985074
