"","X1","pagination.page_number","pagination.page_size","pagination.page_count","events.id","events.url","events.organization_id","events.created","events.changed","events.published","events.status","events.currency","events.listed","events.shareable","events.online_event","events.tx_time_limit","events.locale","events.is_series","events.is_series_parent","events.inventory_type","events.is_reserved_seating","events.show_pick_a_seat","events.show_colors_in_seatmap_thumbnail","events.source","events.is_free","events.summary","events.organizer_id","events.venue_id","events.category_id","events.subcategory_id","events.format_id","events.is_externally_ticketed","events.name.text","events.description.text","events.end.timezone","events.end.utc","events.end.utc.1","events.logo.original.width","events.logo.original.height","location.latitude","location.longitude","location.augmented_location.country","location.address","label"
"1",1,1,50,20,60560570296,"https://www.eventbrite.com/e/beer-class-beer-101-with-kevin-brooks-top-hops-beer-shop-tickets-60560570296?aff=ebapi",36561517562,2019-04-18 03:03:48,2019-06-19 04:33:16,2019-04-18 03:07:48,"live","USD",TRUE,TRUE,FALSE,480,"en_US",FALSE,FALSE,"limited",FALSE,FALSE,FALSE,"create_2.0",FALSE,"Have you ever wondered what the difference is between an Ale and a Lager? How about a Dry Stout or a Foreign Stout? What is beer actually ma",17691904454,33373559,110,10001,9,FALSE,"beer class:  beer 101 with kevin brooks @ top hops beer shop","Have you ever wondered what the difference is between an Ale and a Lager? How about a Dry Stout or a Foreign Stout? What is beer actually made from? Wonder no more as we run through the basics of beer and introduce you to the major beer styles. We'll discuss everything from the American Adjunct Lager to the Imperial Stout in this introduction to the wonderful world of beer. Whether you're already a beer lover or you're just dipping your toe in the water, we welcome you to join us for some fun times and fun brews.
KEVIN BROOKS
Kevin Brooks left the legal services industry to follow his love of beer a little more than five years ago, hoping to find his way as a beer professional. A start at Murray's Cheese gave him an unexpected love of cheese and put him in a prime position to help with the launch of the beer program there. After two great years he left to work the streets as a rep for a beer distributor, selling beer to some of the top craft beer bars in New York City. A desire for a change found him back at his retail roots, managing the store at Top Hops and continuing his adventures in beer.
FAQs
 
What's the refund policy?
Top Hops reserves the right to cancel any and all classes due to scheduling conflict, illness or poor attendance. Attendees of cancelled classes will be given a full refund and at least 24 hours notice whenever possible.","America/New_York",2019-07-23 00:30:00,2019-07-23 00:30:00,1000,667,40.712775,-74.005973,"United States","new york city",NA
"2",3,1,50,20,63921374552,"https://www.eventbrite.com/e/beer-tippler-tickets-63921374552?aff=ebapi",35694333470,2019-06-20 22:11:17,2019-07-03 16:29:41,2019-06-20 22:16:19,"live","USD",TRUE,TRUE,FALSE,480,"en_US",FALSE,FALSE,"limited",FALSE,FALSE,FALSE,"create_2.0",FALSE,"









NAVIGATE NYC'S BEER SCENE WITH BEER TIPPLER'S HAND CRAFT BEER PASSBOOK. EXPERIENCE CRAFT BEERS AND FOOD SPECIALS AT OVER 15 OF THE",6146050289,30713001,110,10004,5,FALSE,"beer tippler","









NAVIGATE NYC'S BEER SCENE WITH BEER TIPPLER'S HAND CRAFT BEER PASSBOOK. EXPERIENCE CRAFT BEERS AND FOOD SPECIALS AT OVER 15 OF THE CITY'S BEST VENUES.










** PICK UP YOUR BOOKLET AT THE CHECK-IN LOCATION: TBD **
PICK- UP AVAILABLE ANY TIME AFTER 5PM ON NOVEMBER 1ST FROM THE CHECK-IN LOCATION DURING THEIR NORMAL BUSINESS HOURS!  


You can pick up your booklet any time for the duration of the program during the bar's normal business hours.


Your passbook must be physically present at each venue to redeem your cocktail. The bartender will stamp your booklet upon redemption of your beer and food.


You could pick up passbooks for your friends, as long as the tickets are presented and redeemed at the check-in venue.



See more information at http://www.beertippler.com/


YOU MUST HAVE YOUR PHYSICAL PASSBOOK PRESENT TO REDEEM AT EVERY VENUE, NO EXCEPTIONS.  


This offer is final sale and nonrefundable. Redemption of this offer is subject to normal availability. Pass is not shareable or transferable. Only one passbook may be used per person.  Pass is valid on October 1 to November  15, 2018 during normal hours of operation. Types of cocktails are subject to change without notice depending on availability. Must be 21 or older to participate. Venues reserve the right to deny entry to any individual without recourse. Price does not include food, tax or gratuity.","America/New_York",2019-12-16 04:30:00,2019-12-16 04:30:00,500,164,40.712775,-74.005973,"United States","new york city",NA
"3",4,1,50,20,62849827526,"https://www.eventbrite.com/e/beer-and-blades-with-threes-brewing-tickets-62849827526?aff=ebapi",307899401616,2019-06-03 14:13:30,2019-07-10 06:34:11,2019-06-03 14:13:33,"live","USD",TRUE,TRUE,FALSE,480,"en_US",TRUE,FALSE,"limited",FALSE,FALSE,FALSE,"create_2.0",TRUE,"Join us in New York for a free blade sharpening session with our in-house blade expert.Learn how to polish up your blades and bolsters, hone",22589906132,32878929,110,NA,9,FALSE,"beer and blades with three's brewing","Join us in New York for a free blade sharpening session with our in-house blade expert.Learn how to polish up your blades and bolsters, hone your sharpening techniques, and get that knife of yours in tip top shape. We'll also cover repairing blade damage, de-rusting, and general cleaning. All you need to bring is a knife. Kitchen knives, pocket knives, and hunting knives, are all welcome. We’ll supply a selection of sharpening stones, all the knife maintenance materials you could need, and will answer any knife related question you might have.We will also be serving some complimentary Threes Brewing beers to attendees.","America/New_York",2019-07-21 22:00:00,2019-07-21 22:00:00,513,912,40.712775,-74.005973,"United States","new york city",NA
"4",5,1,50,20,61947627020,"https://www.eventbrite.com/e/beer-and-cheese-pairing-tickets-61947627020?aff=ebapi",141392852881,2019-05-15 18:00:18,2019-07-16 01:13:30,2019-05-15 18:01:19,"live","USD",TRUE,TRUE,FALSE,480,"en_US",FALSE,FALSE,"limited",FALSE,FALSE,FALSE,"create_2.0",FALSE,"Join our in-house Level III Advanced Cicerone®, Angela Steil, as she explores with you the beauty and nuances of beer and how it's the perfe",8172404165,32350949,110,10001,9,FALSE,"beer and cheese pairing","Join our in-house Level III Advanced Cicerone®, Angela Steil, as she explores with you the beauty and nuances of beer and how it's the perfect pairing element with cheese!
Folks have only been brewing beer and noshing on cheese for oh, several thousand years or so, and we're not about to argue with millennia of delicious history. Whether we're pairing Smokey Rauchbiers with a meaty washed rind cheese for a pure bacon bomb or bright wheat beers from Maine and creamy triple cremes conjuring banana bread bliss, we'll work our way through six outstanding (and occasionally outlandish) beer and cheese pairings, guaranteed to have you singing--nay, shouting--the praises of pairing beer and cheese. 
*PER MURRAYS CHEESE POLICY, WE DO NOT ALLOW TRANSFERS OR REFUNDS FOR OUR CLASSES","America/New_York",2019-07-20 21:00:00,2019-07-20 21:00:00,5472,3648,40.712775,-74.005973,"United States","new york city",NA
"5",6,1,50,20,61106725862,"https://www.eventbrite.com/e/queens-beer-festival-2019-tickets-61106725862?aff=ebapi",170560006702,2019-04-30 16:19:46,2019-07-16 21:30:40,2019-04-30 16:20:20,"live","USD",TRUE,TRUE,FALSE,480,"en_US",TRUE,FALSE,"limited",FALSE,FALSE,FALSE,"create_2.0",FALSE,"Clear your calendar - It's going down! The Borough's Fourth Annual Queens Beer Festival kicks off on October 5th and 6th!
Enjoy UNLIMITED ta",13781318640,34080921,110,NA,5,FALSE,"queens beer festival 2019","Clear your calendar - It's going down! The Borough's Fourth Annual Queens Beer Festival kicks off on October 5th and 6th!
Enjoy UNLIMITED tastings from the best in Queens, Brooklyn, The Bronx, Long Island and Upstate breweries (great hard ciders too). Taste over 50 beers while top DJs spin their tunes and choose from the best in international cuisine. Best. Day. Ever!
Two sessions to choose from (or grab 'em both)! General and Early Admission tickets available.
Grab tickets and invite friends. This is going to be epic!
 
 
","America/New_York",2019-10-05 22:00:00,2019-10-05 22:00:00,2160,1080,40.712775,-74.005973,"United States","new york city",NA
"6",8,1,50,20,63492922039,"https://www.eventbrite.com/e/beer-and-cheese-pairing-tickets-63492922039?aff=ebapi",141392852881,2019-06-14 19:12:03,2019-07-15 21:55:05,2019-06-14 19:13:16,"live","USD",TRUE,TRUE,FALSE,480,"en_US",FALSE,FALSE,"limited",FALSE,FALSE,FALSE,"create_2.0",FALSE,"Join our in-house Level III Advanced Cicerone®, Angela Steil, as she explores with you the beauty and nuances of beer and how it's the perfe",8172404165,33259780,110,10001,9,FALSE,"beer and cheese pairing","Join our in-house Level III Advanced Cicerone®, Angela Steil, as she explores with you the beauty and nuances of beer and how it's the perfect pairing element with cheese!
Folks have only been brewing beer and noshing on cheese for oh, several thousand years or so, and we're not about to argue with millennia of delicious history. Whether we're pairing Smokey Rauchbiers with a meaty washed rind cheese for a pure bacon bomb or bright wheat beers from Maine and creamy triple cremes conjuring banana bread bliss, we'll work our way through six outstanding (and occasionally outlandish) beer and cheese pairings, guaranteed to have you singing--nay, shouting--the praises of pairing beer and cheese. 
*PER MURRAYS CHEESE POLICY, WE DO NOT ALLOW TRANSFERS OR REFUNDS FOR OUR CLASSES","America/New_York",2019-08-16 00:00:00,2019-08-16 00:00:00,5472,3648,40.712775,-74.005973,"United States","new york city",NA
"7",9,1,50,20,64617608005,"https://www.eventbrite.com/e/beer-tell-me-more-tickets-64617608005?aff=ebapi",253738100967,2019-07-02 16:38:44,2019-07-12 23:45:37,2019-07-02 17:43:14,"live","USD",TRUE,TRUE,FALSE,480,"en_US",FALSE,FALSE,"limited",FALSE,FALSE,FALSE,"create_2.0",FALSE,"What the Helles is the difference between a lager and an ale? In this beginner’s introductory course, we’ll learn the basics of fermentation",24253668511,33776774,110,10001,9,FALSE,"beer, tell me more?","What the Helles is the difference between a lager and an ale? In this beginner’s introductory course, we’ll learn the basics of fermentation and how this leads to the legion of beer styles we have today: from pilsners to cream ales, from British milds to Belgian strongs, and from pale ales to pale ales, with a lot of what comes in between. Expect some biology, some chemistry, some history, and plenty of delicious beer.
Class led by: Devon Powell","America/New_York",2019-07-24 00:30:00,2019-07-24 00:30:00,707,707,40.712775,-74.005973,"United States","new york city",NA
"8",11,1,50,20,64693342529,"https://www.eventbrite.com/e/bogart-beerfest-tickets-64693342529?aff=ebapi",203689078162,2019-07-03 20:31:47,2019-07-03 20:35:27,2019-07-03 20:31:51,"live","USD",TRUE,TRUE,FALSE,480,"en_US",FALSE,FALSE,"limited",FALSE,FALSE,FALSE,"create_2.0",FALSE,"
Welcome to East Williamsburg’s premier beer festival! Unlimited beer with unbeatable rooftop views! Join us for an evening of music, games,",13915535628,33824288,110,10001,5,FALSE,"bogart beerfest","
Welcome to East Williamsburg’s premier beer festival! Unlimited beer with unbeatable rooftop views! Join us for an evening of music, games, and awesome craft beers in the heart of Brooklyn’s art and music scene. 





Tickets:


$55 for the 3 hour session


$10 for Designated Drivers





21+
","America/New_York",2019-09-29 01:00:00,2019-09-29 01:00:00,1500,1000,40.712775,-74.005973,"United States","new york city",NA
"9",12,1,50,20,65195728178,"https://www.eventbrite.com/e/beer-and-cheese-pairing-tickets-65195728178?aff=ebapi",141392852881,2019-07-11 18:05:53,2019-07-11 18:07:00,2019-07-11 18:07:00,"live","USD",TRUE,TRUE,FALSE,480,"en_US",FALSE,FALSE,"limited",FALSE,FALSE,FALSE,"create_2.0",FALSE,"Join our in-house Level III Advanced Cicerone®, Angela Steil, as she explores with you the beauty and nuances of beer and how it's the perfe",8172404165,34054229,110,10001,9,FALSE,"beer and cheese pairing","Join our in-house Level III Advanced Cicerone®, Angela Steil, as she explores with you the beauty and nuances of beer and how it's the perfect pairing element with cheese!
Folks have only been brewing beer and noshing on cheese for oh, several thousand years or so, and we're not about to argue with millennia of delicious history. Whether we're pairing Smokey Rauchbiers with a meaty washed rind cheese for a pure bacon bomb or bright wheat beers from Maine and creamy triple cremes conjuring banana bread bliss, we'll work our way through six outstanding (and occasionally outlandish) beer and cheese pairings, guaranteed to have you singing--nay, shouting--the praises of pairing beer and cheese. 
*PER MURRAYS CHEESE POLICY, WE DO NOT ALLOW TRANSFERS OR REFUNDS FOR OUR CLASSES","America/New_York",2019-09-20 00:00:00,2019-09-20 00:00:00,5472,3648,40.712775,-74.005973,"United States","new york city",NA
"10",13,1,50,20,62026301337,"https://www.eventbrite.com/e/hester-street-fairs-lobster-beer-tickets-62026301337?aff=ebapi",174602664594,2019-05-17 00:31:41,2019-07-16 01:47:21,2019-05-17 18:50:48,"live","USD",TRUE,TRUE,FALSE,480,"en_US",FALSE,FALSE,"limited",FALSE,FALSE,FALSE,"create_2.0",TRUE,"The idea is simple: we get a lot of beer, happy people and the best lobster the city has to offer and chill in the park for the afternoon. T",10725980947,33849710,110,10003,5,FALSE,"hester street fair's lobster & beer","The idea is simple: we get a lot of beer, happy people and the best lobster the city has to offer and chill in the park for the afternoon. This event is the second of the season, so come out and grab a lobster roll you loved before.
More Vendors to come...

About Hester Street Fair
The Hester brand is known for its highly curated selection of NYC's artisanal fashion, art, design, jewelry, crafts, music, and food vendors. By bringing together a high quality, wide range of cutting edge entrepreneurs and under-the-radar brands, Hester creates buzzworthy artisanal experiences that are unique to New York City. Our vendor selections represent the unmatched diversity, unique talent, and abundant creative spirit that sets NYC apart. The Hester experience is about bringing the community together. Family friendly and open to all, yet stylish and exclusive enough to appeal to discerning foodies and in-the-know shoppers who come to check out the latest trends. Described by the New York Times as a “hyperlocal block party,” The Hester brand brings a connection to community and a vibe that is cool, cozy, and familiar.","America/New_York",2019-08-31 22:00:00,2019-08-31 22:00:00,NA,NA,40.712775,-74.005973,"United States","new york city",NA
