"","pagination.page_number","pagination.page_size","pagination.page_count","events.id","events.url","events.organization_id","events.created","events.changed","events.published","events.status","events.currency","events.listed","events.shareable","events.online_event","events.tx_time_limit","events.locale","events.is_series","events.is_series_parent","events.inventory_type","events.is_reserved_seating","events.show_pick_a_seat","events.show_colors_in_seatmap_thumbnail","events.source","events.is_free","events.summary","events.organizer_id","events.venue_id","events.category_id","events.subcategory_id","events.format_id","events.is_externally_ticketed","events.name.text","events.description.text","events.end.timezone","events.end.utc","events.end.utc.1","events.logo.original.width","events.logo.original.height","location.latitude","location.longitude","location.augmented_location.country","location.address","label"
"2",1,50,21,"63921374552","https://www.eventbrite.com/e/beer-tippler-tickets-63921374552?aff=ebapi","35694333470","2019-06-20T22:11:17Z","2019-07-03T16:29:41Z","2019-06-20T22:16:19Z","live","USD",TRUE,TRUE,FALSE,480,"en_US",FALSE,FALSE,"limited",FALSE,FALSE,FALSE,"create_2.0",FALSE,"









NAVIGATE NYC'S BEER SCENE WITH BEER TIPPLER'S HAND CRAFT BEER PASSBOOK. EXPERIENCE CRAFT BEERS AND FOOD SPECIALS AT OVER 15 OF THE","6146050289","30713001","110","10004","5",FALSE,"beer tippler ","









NAVIGATE NYC'S BEER SCENE WITH BEER TIPPLER'S HAND CRAFT BEER PASSBOOK. EXPERIENCE CRAFT BEERS AND FOOD SPECIALS AT OVER 15 OF THE CITY'S BEST VENUES.










** PICK UP YOUR BOOKLET AT THE CHECK-IN LOCATION: TBD **
PICK- UP AVAILABLE ANY TIME AFTER 5PM ON NOVEMBER 1ST FROM THE CHECK-IN LOCATION DURING THEIR NORMAL BUSINESS HOURS!  


You can pick up your booklet any time for the duration of the program during the bar's normal business hours.


Your passbook must be physically present at each venue to redeem your cocktail. The bartender will stamp your booklet upon redemption of your beer and food.


You could pick up passbooks for your friends, as long as the tickets are presented and redeemed at the check-in venue.



See more information at http://www.beertippler.com/


YOU MUST HAVE YOUR PHYSICAL PASSBOOK PRESENT TO REDEEM AT EVERY VENUE, NO EXCEPTIONS.  


This offer is final sale and nonrefundable. Redemption of this offer is subject to normal availability. Pass is not shareable or transferable. Only one passbook may be used per person.  Pass is valid on October 1 to November  15, 2018 during normal hours of operation. Types of cocktails are subject to change without notice depending on availability. Must be 21 or older to participate. Venues reserve the right to deny entry to any individual without recourse. Price does not include food, tax or gratuity.","America/New_York","2019-12-16T04:30:00Z","2019-12-16T04:30:00Z",500,164,"40.712775","-74.005973","United States","new york city","beer"
"3",1,50,21,"67659684939","https://www.eventbrite.com/e/beerbq-tickets-67659684939?aff=ebapi","220224547844","2019-08-02T02:27:14Z","2019-08-06T17:21:09Z","2019-08-02T02:32:00Z","live","USD",TRUE,TRUE,FALSE,480,"en_US",FALSE,FALSE,"limited",FALSE,FALSE,FALSE,"create_2.0",FALSE,"Come Join Us for A Sizzlin' Beer'BQ with great eats.
POP UP Beer'BQ!!
On August 10th, 2019
$20 Food Inclusive
Time 2p.m. - 9p.m.
Location: S","14618147724","35623273","110","10003","8",FALSE,"beer'bq","Come Join Us for A Sizzlin' Beer'BQ with great eats.
POP UP Beer'BQ!!
On August 10th, 2019
$20 Food Inclusive
Time 2p.m. - 9p.m.
Location: Secret Location
INVITE ONLY!!
Come lime with us and have some Summer Fun
Berr Pong
Jenga
Uno
Connect Four and much more!!

Purchase your ticket on eventbrite today 
https://beerbq1.eventbrite.com","America/New_York","2019-08-11T03:00:00Z","2019-08-11T03:00:00Z",1600,1600,"40.712775","-74.005973","United States","new york city","beer"
"4",1,50,21,"61106725862","https://www.eventbrite.com/e/queens-beer-festival-2019-tickets-61106725862?aff=ebapi","170560006702","2019-04-30T16:19:46Z","2019-08-03T22:45:10Z","2019-04-30T16:20:20Z","live","USD",TRUE,TRUE,FALSE,480,"en_US",TRUE,FALSE,"limited",FALSE,FALSE,FALSE,"create_2.0",FALSE,"Clear your calendar - It's going down! The Borough's Fourth Annual Queens Beer Festival kicks off on October 5th and 6th!
Enjoy UNLIMITED ta","13781318640","34080921","110",NA,"5",FALSE,"queens beer festival 2019","Clear your calendar - It's going down! The Borough's Fourth Annual Queens Beer Festival kicks off on October 5th and 6th!
Enjoy UNLIMITED tastings from the best in Queens, Brooklyn, The Bronx, Long Island and Upstate breweries (great hard ciders too). Taste over 50 beers while top DJs spin their tunes and choose from the best in international cuisine. Best. Day. Ever!
Two sessions to choose from (or grab 'em both)! General and Early Admission tickets available.
Grab tickets and invite friends. This is going to be epic!
 
 
","America/New_York","2019-10-05T22:00:00Z","2019-10-05T22:00:00Z",2160,1080,"40.712775","-74.005973","United States","new york city","beer"
"5",1,50,21,"63492922039","https://www.eventbrite.com/e/beer-and-cheese-pairing-tickets-63492922039?aff=ebapi","141392852881","2019-06-14T19:12:03Z","2019-08-06T03:24:54Z","2019-06-14T19:13:16Z","live","USD",TRUE,TRUE,FALSE,480,"en_US",FALSE,FALSE,"limited",FALSE,FALSE,FALSE,"create_2.0",FALSE,"Join our in-house Level III Advanced Cicerone®, Angela Steil, as she explores with you the beauty and nuances of beer and how it's the perfe","8172404165","35182273","110","10001","9",FALSE,"beer and cheese pairing","Join our in-house Level III Advanced Cicerone®, Angela Steil, as she explores with you the beauty and nuances of beer and how it's the perfect pairing element with cheese!
Folks have only been brewing beer and noshing on cheese for oh, several thousand years or so, and we're not about to argue with millennia of delicious history. Whether we're pairing Smokey Rauchbiers with a meaty washed rind cheese for a pure bacon bomb or bright wheat beers from Maine and creamy triple cremes conjuring banana bread bliss, we'll work our way through six outstanding (and occasionally outlandish) beer and cheese pairings, guaranteed to have you singing--nay, shouting--the praises of pairing beer and cheese. 
*PER MURRAYS CHEESE POLICY, WE DO NOT ALLOW TRANSFERS OR REFUNDS FOR OUR CLASSES","America/New_York","2019-08-16T00:00:00Z","2019-08-16T00:00:00Z",5472,3648,"40.712775","-74.005973","United States","new york city","beer"
"8",1,50,21,"64693342529","https://www.eventbrite.com/e/bogart-beerfest-tickets-64693342529?aff=ebapi","203689078162","2019-07-03T20:31:47Z","2019-07-03T20:35:27Z","2019-07-03T20:31:51Z","live","USD",TRUE,TRUE,FALSE,480,"en_US",FALSE,FALSE,"limited",FALSE,FALSE,FALSE,"create_2.0",FALSE,"
Welcome to East Williamsburg’s premier beer festival! Unlimited beer with unbeatable rooftop views! Join us for an evening of music, games,","13915535628","33824288","110","10001","5",FALSE,"bogart beerfest","
Welcome to East Williamsburg’s premier beer festival! Unlimited beer with unbeatable rooftop views! Join us for an evening of music, games, and awesome craft beers in the heart of Brooklyn’s art and music scene. 





Tickets:


$55 for the 3 hour session


$10 for Designated Drivers





21+
","America/New_York","2019-09-29T01:00:00Z","2019-09-29T01:00:00Z",1500,1000,"40.712775","-74.005973","United States","new york city","beer"
"9",1,50,21,"65195728178","https://www.eventbrite.com/e/beer-and-cheese-pairing-tickets-65195728178?aff=ebapi","141392852881","2019-07-11T18:05:53Z","2019-07-11T18:07:00Z","2019-07-11T18:07:00Z","live","USD",TRUE,TRUE,FALSE,480,"en_US",FALSE,FALSE,"limited",FALSE,FALSE,FALSE,"create_2.0",FALSE,"Join our in-house Level III Advanced Cicerone®, Angela Steil, as she explores with you the beauty and nuances of beer and how it's the perfe","8172404165","34054229","110","10001","9",FALSE,"beer and cheese pairing","Join our in-house Level III Advanced Cicerone®, Angela Steil, as she explores with you the beauty and nuances of beer and how it's the perfect pairing element with cheese!
Folks have only been brewing beer and noshing on cheese for oh, several thousand years or so, and we're not about to argue with millennia of delicious history. Whether we're pairing Smokey Rauchbiers with a meaty washed rind cheese for a pure bacon bomb or bright wheat beers from Maine and creamy triple cremes conjuring banana bread bliss, we'll work our way through six outstanding (and occasionally outlandish) beer and cheese pairings, guaranteed to have you singing--nay, shouting--the praises of pairing beer and cheese. 
*PER MURRAYS CHEESE POLICY, WE DO NOT ALLOW TRANSFERS OR REFUNDS FOR OUR CLASSES","America/New_York","2019-09-20T00:00:00Z","2019-09-20T00:00:00Z",5472,3648,"40.712775","-74.005973","United States","new york city","beer"
"10",1,50,21,"66509372323","https://www.eventbrite.com/e/kcbc-beer-and-cheese-pairing-tickets-66509372323?aff=ebapi","141392852881","2019-07-24T21:29:49Z","2019-07-24T21:30:40Z","2019-07-24T21:30:40Z","live","USD",TRUE,TRUE,FALSE,480,"en_US",FALSE,FALSE,"limited",FALSE,FALSE,FALSE,"create_2.0",FALSE,"Kings County Brewers Collective (KCBC) is a production brewery and taproom located in Bushwick in Brooklyn, NY. Owned and operated by a trio","8172404165","34786119","110","10001","9",FALSE,"kcbc beer and cheese pairing ","Kings County Brewers Collective (KCBC) is a production brewery and taproom located in Bushwick in Brooklyn, NY. Owned and operated by a trio of brewers (Pete Lengyel, Tony Bellis, and Zack Kinney), KCBC produces a wide variety of beers and styles, rotating recipe design between the three brewers and collaborating frequently with others in the community. KCBC is also the first brewery to operate in the historically-beer-centric Bushwick neighborhood since 1976.
For this event, we will be pairing their amazing selection of six of their special beers with six of our gorgeous cheeses, to make for a fun evening filled with delicious combinations! Expand your palate and make a beery night out of it with us. Cheers!
*PER MURRAYS CHEESE POLICY, WE DO NOT ALLOW TRANSFERS OR REFUNDS FOR OUR CLASSES
","America/New_York","2019-11-15T01:00:00Z","2019-11-15T01:00:00Z",5472,3648,"40.712775","-74.005973","United States","new york city","beer"
"11",1,50,21,"66809056687","https://www.eventbrite.com/e/oktoberfest-beer-soap-making-tickets-66809056687?aff=ebapi","196145069186","2019-07-28T16:36:17Z","2019-07-28T16:51:06Z","2019-07-28T16:50:36Z","live","USD",TRUE,FALSE,FALSE,480,"en_US",FALSE,FALSE,"limited",FALSE,FALSE,FALSE,"coyote",FALSE,"Learn to make your own beer soap in this Oktoberfest themed class.","12298355055","34983449","119","19003","9",FALSE,"oktoberfest beer soap making","Learn to make your own beer soap in this Oktoberfest themed class.","America/New_York","2019-09-29T21:00:00Z","2019-09-29T21:00:00Z",1920,1080,"40.712775","-74.005973","United States","new york city","beer"
"12",1,50,21,"67269405603","https://www.eventbrite.com/e/summer-beer-olympics-tickets-67269405603?aff=ebapi","107518216747","2019-07-31T18:23:35Z","2019-08-02T18:48:30Z","2019-07-31T18:37:40Z","live","USD",TRUE,TRUE,FALSE,480,"en_US",FALSE,FALSE,"limited",FALSE,FALSE,FALSE,"create_2.0",FALSE,"Participate in Society's first Beer Olympics, August 25th, 2019 from 2PM-5PM. To join the tournament, you need a team of 6 players*, select ","6827436839","35372277","110","10001","14",FALSE,"summer beer olympics","Participate in Society's first Beer Olympics, August 25th, 2019 from 2PM-5PM. To join the tournament, you need a team of 6 players*, select the Country, & prepare to dominate! There will be three separate games: Beer Pong, Flip Cup, & Boat Race.
Tickets are $90, which includes an open bar for domestic beers from 2PM-5PM.
Prizes:
Cash Prize - 1st place**
Gift Cards - 2nd place
Prize for Best Team Outfit 
*All teams must have at least one female per team.
** Amount depends on total of teams registered
***Will not duplicate Countries, first come first serve. 
If you have any questions, please call 212-420-1000 or email info@societybilliards.com.
","America/New_York","2019-08-25T21:00:00Z","2019-08-25T21:00:00Z",612,343,"40.712775","-74.005973","United States","new york city","beer"
"13",1,50,21,"62026301337","https://www.eventbrite.com/e/hester-street-fairs-lobster-beer-tickets-62026301337?aff=ebapi","174602664594","2019-05-17T00:31:41Z","2019-08-08T02:09:13Z","2019-05-17T18:50:48Z","live","USD",TRUE,TRUE,FALSE,480,"en_US",FALSE,FALSE,"limited",FALSE,FALSE,FALSE,"create_2.0",TRUE,"Are you hungry for Lobster and Beer?! Of course you are! We’re back with our extra popular event Lobster & Beer for the second time this sea","10725980947","35643085","110","10003","5",FALSE,"hester street fair's lobster & beer","Are you hungry for Lobster and Beer?! Of course you are! We’re back with our extra popular event Lobster & Beer for the second time this season. If you’re not convinced based on the title of the event alone, PureWow named us as one of the ""22 Things to Add to Your End-of-Summer Bucket List”. Our fair was packed at the first event earlier this May, so come out and grab a lobster roll before they’ve all been taken, and lay back in the grass. 
Catch the PureWow write up here - https://www.purewow.com/entertainment/things-to-do-in-nyc-august

What’s On The Menu
DownEast Lobstah Back in the LES with their amazing lobster rolls- and have you ever had a lobster hush puppy? Just do it. You’ll be so happy. 
Oyster Party Just your luck, Oyster Party is bringing their raw bar and Maine style lobster rolls so you’ll have the best of both worlds. Lobster Joint Our Greenpoint favorite is coming to the LES with their New England style Lobster Roll! Get carried away.  Crabman Mike has been serving the patrons of Harlem from his famous seafood stand. Providing a variety of shellfish, including blue claw crabs, Cajun peel shrimp, muscles, littleneck clams, New England Lobsters, and much more.
 
Ps.- We’ll have delicious non-sea options from Mum’s Kitchen,Whammes,Beba’s Kitchen and Rosey Jamaican for all the land lovers out there
  
New Belgium Brewing
Fat Tire Amber is the easy-drinking Amber Ale born in Colorado from New Belgium Brewing Company, the 100% employee-owned leader in environmental stewardship. 

Mural Produced in partnership with Primus Cerveceria (@primuscervecera), a leading Mexican craft brewery based in Mexico City founded by three cousins, Rodolfo, Jaime, and Rebeca. Mural is our joint homage to the classic agua fresca that also pushes the boundaries of what a beer can be. 

Vendor Line-Up
Beba's Kitchen, Bussdown Vintage, Crabman Mike/Summerville Enterprises, Dash of Pep, Downeast Lobstah, Filigree NYC, Future's Market, Hatzumomo, Katmama Accessories, Lisa our Village Psychic, Lobster Joint, Melonsquare Studios, Mums Kitchen, Oyster Party, Popped NYC, Phyla, Potion CBD, Provisions by Kat, Sea of People, Spear and Stone, The 212 Closet, Threads Apparel Store, Whammes, WhereTheWiredThingsAre

About Hester Street Fair
The Hester brand is known for its highly curated selection of NYC's artisanal fashion, art, design, jewelry, crafts, music, and food vendors. By bringing together a high quality, wide range of cutting edge entrepreneurs and under-the-radar brands, Hester creates buzzworthy artisanal experiences that are unique to New York City. Our vendor selections represent the unmatched diversity, unique talent, and abundant creative spirit that sets NYC apart. The Hester experience is about bringing the community together. Family friendly and open to all, yet stylish and exclusive enough to appeal to discerning foodies and in-the-know shoppers who come to check out the latest trends. Described by the New York Times as a “hyperlocal block party,” The Hester brand brings a connection to community and a vibe that is cool, cozy, and familiar.
","America/New_York","2019-08-31T22:00:00Z","2019-08-31T22:00:00Z",2160,1080,"40.712775","-74.005973","United States","new york city","beer"
